step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_teleports;step_time;step_waiting
221;2;625281729;221;265;711;711;7.18;0.44;100.84;5.15;490;2;212.00;0
224;2;625281736;224;262;711;711;7.20;0.44;101.68;5.15;487;2;213.00;0
226;2;625281742;226;266;711;711;7.14;0.44;101.00;5.15;485;2;214.00;0
226;2;625281748;226;267;711;711;7.10;0.44;101.00;5.15;485;2;215.00;0
226;2;625281753;226;279;755;781;7.26;0.45;101.00;4.85;529;2;216.00;26
227;2;625281767;227;265;757;782;7.24;0.45;101.50;4.84;530;2;217.00;25
227;2;625281774;227;254;765;782;7.43;0.46;101.50;4.81;538;2;218.00;17
228;2;625281781;228;238;769;782;7.54;0.47;101.83;4.80;541;2;219.00;13
230;2;625281788;230;221;774;782;7.73;0.48;102.21;4.79;544;2;220.00;8
231;3;625281796;231;216;778;782;7.89;0.49;102.71;4.80;547;3;221.00;4
232;3;625281811;232;213;780;782;8.11;0.50;103.22;4.80;548;3;222.00;2
234;3;625281819;234;205;780;782;8.26;0.51;103.94;4.80;546;3;223.00;2
235;3;625281829;235;196;782;783;8.40;0.51;103.84;4.80;547;3;224.00;1
238;3;625281840;238;191;784;785;8.45;0.52;105.02;4.79;546;3;225.00;1
238;3;625281855;238;181;785;785;8.58;0.52;105.02;4.79;547;3;226.00;0
241;3;625281870;241;166;789;789;8.57;0.52;105.33;4.77;548;3;227.00;0
241;3;625281879;241;151;789;789;8.70;0.53;105.33;4.77;548;3;228.00;0
244;3;625281886;244;144;789;789;8.85;0.54;106.12;4.77;545;3;229.00;0
247;3;625281899;247;135;789;789;8.97;0.55;107.48;4.77;542;3;230.00;0
248;3;625281907;248;131;794;795;9.10;0.56;107.56;4.75;546;3;231.00;1
250;3;625281921;250;127;794;795;9.25;0.57;107.28;4.75;544;3;232.00;1
252;3;625281930;252;124;795;795;9.38;0.57;108.23;4.75;543;3;233.00;0
253;3;625281939;253;120;797;798;9.57;0.58;108.71;4.74;544;3;234.00;1
254;3;625281947;254;115;798;798;9.68;0.59;109.17;4.73;544;3;235.00;0
255;3;625281955;255;108;798;798;9.79;0.60;109.10;4.73;543;3;236.00;0
256;3;625281963;256;102;799;799;9.82;0.60;109.22;4.73;543;3;237.00;0
257;3;625281971;257;99;800;800;9.90;0.60;109.72;4.72;543;3;238.00;0
258;3;625281979;258;97;800;800;9.95;0.61;109.93;4.72;542;3;239.00;0
259;3;625281987;259;101;824;826;9.88;0.60;110.40;4.58;565;3;240.00;2
261;3;625281998;261;97;824;826;9.94;0.61;110.02;4.58;563;3;241.00;2
