tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
103.00;583371580_0;93.20;12.96;0.00;0.00;408074469#0_1;60.87;20.99;vehroute_1.293.0 tripinfo_1.293.0 routing_1.293.0 emissions_1.293.0;103.00;1.293.0;1;664.24;1.26;0.00;68.17;passenger;;2;50.00;279794.442476;9703.833608;50.795762;120.713454;6.065398;0;120.274660
104.00;28639939#0_0;139.89;18.23;2.00;2.00;192483968#1_1;0.00;12.64;vehroute_0.187.0 tripinfo_0.187.0 routing_0.187.0 emissions_0.187.0;102.00;0.187.0;1;1514.06;1.37;0.00;32.80;passenger;;0;0.00;396103.886618;4937.819440;31.810912;162.105255;7.609319;0;170.266554
104.00;775830384_2;114.22;16.67;0.00;0.00;190511164#0_0;0.00;11.86;vehroute_0.201.0 tripinfo_0.201.0 routing_0.201.0 emissions_0.201.0;104.00;0.201.0;1;1350.67;1.07;0.00;16.33;passenger;;0;0.00;324433.226335;4360.098286;27.470117;132.818598;6.011983;0;139.459150
104.00;47663822#2.31_1;76.83;17.09;0.00;0.00;678477995_0;0.00;11.51;vehroute_1.510.0 tripinfo_1.510.0 routing_1.510.0 emissions_1.510.0;104.00;1.510.0;1;1074.13;1.04;0.00;38.86;passenger;;1;26.00;286601.346158;6139.557333;34.644631;116.707144;5.375735;0;123.198905
105.00;37022128_0;106.30;19.44;3.00;3.00;192483968#1_1;0.00;10.11;vehroute_0.189.0 tripinfo_0.189.0 routing_0.189.0 emissions_0.189.0;102.00;0.189.0;1;1570.27;1.24;0.00;25.26;passenger;;0;0.00;422031.238216;5338.084248;34.405472;173.333349;8.200132;0;181.411461
106.00;53292332#0_0;29.81;12.90;1.00;1.00;583371595#1_0;0.00;17.28;vehroute_0.37.0 tripinfo_0.37.0 routing_0.37.0 emissions_0.37.0;105.00;0.37.0;1;1656.02;1.21;0.00;20.65;passenger;;0;0.00;397734.458541;4917.759876;31.888456;163.143491;7.723788;0;170.967337
107.00;775830384_2;114.22;16.40;0.00;0.00;192483968#1_1;0.00;17.13;vehroute_0.181.0 tripinfo_0.181.0 routing_0.181.0 emissions_0.181.0;107.00;0.181.0;1;1578.90;1.03;0.00;14.20;passenger;;0;0.00;308808.116765;2970.816219;20.684328;120.583832;5.184052;0;132.742671
108.00;48484730#0_0;230.76;12.98;2.00;2.00;48484721#2_0;12.10;0.00;vehroute_3.400.0 tripinfo_3.400.0 routing_3.400.0 emissions_3.400.0;106.00;3.400.0;1;1097.64;1.20;15.00;28.49;bus;;0;0.00;1788782.513630;2788.963554;554.744688;13805.871618;297.932416;0;762.877147
111.00;53292659#0_1;67.48;18.12;0.00;0.00;199263544_1;0.00;18.80;vehroute_0.63.0 tripinfo_0.63.0 routing_0.63.0 emissions_0.63.0;111.00;0.63.0;0;213.16;1.13;0.00;99.19;passenger;;1;89.00;296760.586071;15433.705495;77.279948;133.954202;7.125843;0;127.571059
112.00;-292382413_0;152.29;10.41;2.00;2.00;192483968#1_1;80.19;16.96;vehroute_0.188.0 tripinfo_0.188.0 routing_0.188.0 emissions_0.188.0;110.00;0.188.0;1;1510.57;1.02;0.00;14.56;passenger;;0;0.00;285219.757817;3207.523536;21.050722;112.252474;4.796160;0;122.603372
